"Action","Source address","Source Mask","Destination address","Destination Mask","Port","Protocol"
"deny","192.168.87.133","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.102.224","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.105.66","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.217.74","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.126.127","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.239.84","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.113.169","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.120.138","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.246.237","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.97.226","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.217.248","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.195.178","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.125.235","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.22.78","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.196.68","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.242.78","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.68.142","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.54.89","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.3.6","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.209.218","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.72.249","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.46.4","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.237.240","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.99.87","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.224.62","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.38.244","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.238.61","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.37.27","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.217.55","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.111.218","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.245.77","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.72.230","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.141.1","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.11.254","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.252.1","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.235.112","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.250.243","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.93.136","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.220.37","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.20.73","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.14.237","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.104.239","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.211.21","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.86.218","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.73.184","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.249.105","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.216.189","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.144.15","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.39.84","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.118.112","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.26.247","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
