"Action","Source address","Destination address","Port","Protocol"
"1","203.222.201.204","203.222.201.214","21","6"
"0","172.160.2.175","203.222.201.178","23","6"
"1","172.160.2.136","172.160.2.167","22","6"
"0","172.160.2.206","192.168.1.155","53","17"
"0","172.160.2.23","203.222.201.76","80","6"
"0","172.160.2.104","192.168.1.64","21","6"
"0","192.168.1.70","172.160.2.131","110","17"
"1","203.222.201.59","203.222.201.9","53","17"
"0","192.168.1.160","203.222.201.235","110","17"
"1","192.168.1.149","203.222.201.55","25","6"
"0","172.160.2.187","203.222.201.109","53","17"
"0","203.222.201.199","192.168.1.252","23","6"
"0","172.160.2.127","192.168.1.233","80","6"
"0","172.160.2.148","203.222.201.117","110","17"
"1","172.160.2.93","172.160.2.119","21","6"
"0","172.160.2.41","203.222.201.10","23","6"
"0","192.168.1.158","172.160.2.59","53","17"
"0","172.160.2.50","203.222.201.196","21","6"
"0","172.160.2.12","192.168.1.211","25","6"
"1","192.168.1.96","192.168.1.228","80","6"
"1","172.160.2.144","172.160.2.108","80","6"
"1","192.168.1.207","192.168.1.35","25","6"
"1","192.168.1.114","192.168.1.179","80","6"
"1","192.168.1.89","192.168.1.88","22","6"
"0","192.168.1.68","203.222.201.54","80","6"
"0","203.222.201.66","192.168.1.85","25","6"
"0","192.168.1.65","203.222.201.36","80","6"
"1","172.160.2.83","172.160.2.19","80","6"
"0","192.168.1.160","203.222.201.70","80","6"
"1","203.222.201.60","203.222.201.235","25","6"
"0","172.160.2.242","203.222.201.59","23","6"
"0","192.168.1.10","172.160.2.97","25","6"
"0","192.168.1.24","203.222.201.135","22","6"
"1","172.160.2.144","172.160.2.40","23","6"
"0","192.168.1.51","172.160.2.220","53","17"
"1","203.222.201.101","203.222.201.238","80","6"
"1","192.168.1.62","192.168.1.159","80","6"
"0","203.222.201.240","192.168.1.254","110","17"
"0","203.222.201.27","172.160.2.211","110","17"
"1","203.222.201.195","203.222.201.107","25","6"
"0","192.168.1.55","172.160.2.236","110","17"
"1","192.168.1.147","192.168.1.116","21","6"
"1","203.222.201.29","203.222.201.10","25","6"
"1","192.168.1.96","192.168.1.253","22","6"
"1","172.160.2.155","172.160.2.137","22","6"
"0","172.160.2.153","192.168.1.3","25","6"
"0","172.160.2.147","203.222.201.33","23","6"
"0","192.168.1.83","203.222.201.8","53","17"
"0","192.168.1.175","172.160.2.46","110","17"
"0","172.160.2.19","203.222.201.172","110","17"
"1","172.160.2.152","172.160.2.247","22","6"
"0","192.168.1.179","203.222.201.195","53","17"
"1","203.222.201.96","203.222.201.125","21","6"
"1","203.222.201.240","203.222.201.21","21","6"
"0","172.160.2.57","203.222.201.154","80","6"
"1","192.168.1.95","203.222.201.51","21","6"
"1","192.168.1.108","192.168.1.156","22","6"
"1","203.222.201.126","203.222.201.173","22","6"
"1","192.168.1.72","192.168.1.237","53","17"
"0","192.168.1.76","172.160.2.98","80","6"
"0","203.222.201.195","172.160.2.169","80","6"
"0","192.168.1.114","203.222.201.119","80","6"
"0","172.160.2.236","192.168.1.30","53","17"
"0","172.160.2.78","203.222.201.123","23","6"
"1","203.222.201.2","203.222.201.94","21","6"
"0","192.168.1.188","203.222.201.165","53","17"
"0","203.222.201.61","172.160.2.101","21","6"
"0","172.160.2.91","203.222.201.43","22","6"
"0","203.222.201.183","192.168.1.16","80","6"
"1","192.168.1.27","192.168.1.170","80","6"
"1","172.160.2.122","172.160.2.101","80","6"
"1","203.222.201.25","203.222.201.26","21","6"
"1","172.160.2.225","172.160.2.30","22","6"
"0","172.160.2.143","192.168.1.63","80","6"
"0","192.168.1.218","172.160.2.244","25","6"
"0","172.160.2.215","192.168.1.76","53","17"
"0","172.160.2.241","203.222.201.84","80","6"
"0","203.222.201.50","172.160.2.233","80","6"
"1","172.160.2.152","172.160.2.4","110","17"
"1","172.160.2.33","172.160.2.47","110","17"
"1","172.160.2.249","172.160.2.20","22","6"
"1","192.168.1.172","192.168.1.129","21","6"
"0","172.160.2.55","192.168.1.177","21","6"
"1","192.168.1.137","192.168.1.10","80","6"
"0","172.160.2.234","203.222.201.170","80","6"
"0","172.160.2.235","192.168.1.60","80","6"
"0","203.222.201.77","172.160.2.136","25","6"
"0","172.160.2.126","192.168.1.193","22","6"
"1","203.222.201.27","203.222.201.251","21","6"
"1","203.222.201.87","172.160.2.179","53","17"
"0","172.160.2.9","192.168.1.251","110","17"
"0","192.168.1.97","203.222.201.200","53","17"
"1","192.168.1.97","203.222.201.109","21","6"
"1","203.222.201.207","203.222.201.169","80","6"
"0","203.222.201.75","172.160.2.189","21","6"
"0","172.160.2.208","192.168.1.11","80","6"
"1","192.168.1.173","192.168.1.122","21","6"
