"Action","src1","src2","src3","src4","dst1","dst2","dst3","dst4","port","protocol"
"0","10101100","10100000","00000010","01110011","11001011","11011110","11001001","10101000","0000000001010000","00000110"
"1","11001011","11011110","11001001","10011011","11001011","11011110","11001001","00101011","0000000000010111","00000110"
"1","11000000","10101000","00000001","11011101","11000000","10101000","00000001","01100000","0000000001101110","00010001"
"0","11000000","10101000","00000001","00001111","10101100","10100000","00000010","01100001","0000000000110101","00010001"
"0","11000000","10101000","00000001","01001010","10101100","10100000","00000010","00101001","0000000000110101","00010001"
"0","10101100","10100000","00000010","11100001","11001011","11011110","11001001","01110001","0000000000010111","00000110"
"0","10101100","10100000","00000010","01011001","11001011","11011110","11001001","11000011","0000000000110101","00010001"
"0","11000000","10101000","00000001","00000010","10101100","10100000","00000010","00011110","0000000001010000","00000110"
"0","11000000","10101000","00000001","11100000","10101100","10100000","00000010","10100000","0000000000110101","00010001"
"1","11001011","11011110","11001001","00101011","11001011","11011110","11001001","11001101","0000000000011001","00000110"
"0","11001011","11011110","11001001","00110101","10101100","10100000","00000010","01001111","0000000001010000","00000110"
"1","10101100","10100000","00000010","11010010","10101100","10100000","00000010","11011111","0000000000110101","00010001"
"0","11001011","11011110","11001001","00111001","10101100","10100000","00000010","10000100","0000000000010110","00000110"
"0","11000000","10101000","00000001","00101100","11001011","11011110","11001001","11011001","0000000000110101","00010001"
"0","11001011","11011110","11001001","00100010","11000000","10101000","00000001","01111111","0000000000011001","00000110"
"0","11001011","11011110","11001001","10001110","10101100","10100000","00000010","00101001","0000000001101110","00010001"
"0","11000000","10101000","00000001","00011011","10101100","10100000","00000010","01100000","0000000000010101","00000110"
"1","11001011","11011110","11001001","11011001","10101100","10100000","00000010","10000111","0000000000110101","00010001"
"1","11000000","10101000","00000001","00110100","11000000","10101000","00000001","00011111","0000000001010000","00000110"
"1","11000000","10101000","00000001","10001010","11000000","10101000","00000001","00010010","0000000000010111","00000110"
"1","10101100","10100000","00000010","00000001","10101100","10100000","00000010","01100111","0000000000010110","00000110"
"0","11000000","10101000","00000001","01011011","11001011","11011110","11001001","00001001","0000000000010111","00000110"
"1","11000000","10101000","00000001","11011110","11001011","11011110","11001001","11010001","0000000000010101","00000110"
"0","11000000","10101000","00000001","00110001","10101100","10100000","00000010","01101111","0000000000110101","00010001"
"0","10101100","10100000","00000010","10100000","11000000","10101000","00000001","00001010","0000000000011001","00000110"
"0","11001011","11011110","11001001","10001111","11000000","10101000","00000001","00101010","0000000001010000","00000110"
"0","11000000","10101000","00000001","01011010","11001011","11011110","11001001","11101101","0000000000010111","00000110"
"1","11001011","11011110","11001001","11010000","11001011","11011110","11001001","11011011","0000000000010101","00000110"
"0","11000000","10101000","00000001","00110000","10101100","10100000","00000010","11100001","0000000001101110","00010001"
"1","11001011","11011110","11001001","11111010","10101100","10100000","00000010","10110100","0000000000110101","00010001"
"0","11001011","11011110","11001001","11000111","11000000","10101000","00000001","10101011","0000000000010111","00000110"
"0","10101100","10100000","00000010","10111100","11001011","11011110","11001001","01000001","0000000001010000","00000110"
"0","11001011","11011110","11001001","01000111","11000000","10101000","00000001","11100101","0000000001101110","00010001"
"1","11001011","11011110","11001001","10111101","11001011","11011110","11001001","01000011","0000000001101110","00010001"
"0","11001011","11011110","11001001","10110100","10101100","10100000","00000010","11101100","0000000001010000","00000110"
"0","11001011","11011110","11001001","01100001","11000000","10101000","00000001","10000011","0000000000010110","00000110"
"0","10101100","10100000","00000010","01011101","11000000","10101000","00000001","00011010","0000000001010000","00000110"
"0","11000000","10101000","00000001","11100011","10101100","10100000","00000010","01010011","0000000000010110","00000110"
"1","11000000","10101000","00000001","01101111","11000000","10101000","00000001","10100010","0000000000011001","00000110"
"0","11000000","10101000","00000001","00001000","11001011","11011110","11001001","00000111","0000000001010000","00000110"
"1","10101100","10100000","00000010","10001000","11000000","10101000","00000001","11101100","0000000000010111","00000110"
"1","11000000","10101000","00000001","01111110","11001011","11011110","11001001","11000001","0000000000010101","00000110"
"0","11000000","10101000","00000001","10011000","10101100","10100000","00000010","01011011","0000000000010111","00000110"
"1","11000000","10101000","00000001","01101100","11001011","11011110","11001001","01101000","0000000000010101","00000110"
"1","11001011","11011110","11001001","01101010","11001011","11011110","11001001","10100100","0000000001010000","00000110"
"1","10101100","10100000","00000010","01000100","10101100","10100000","00000010","00111010","0000000000010101","00000110"
"0","11001011","11011110","11001001","01001100","10101100","10100000","00000010","10111001","0000000001101110","00010001"
"1","11000000","10101000","00000001","11010101","11001011","11011110","11001001","11001011","0000000000011001","00000110"
"0","11001011","11011110","11001001","10011011","11000000","10101000","00000001","10100001","0000000000110101","00010001"
"0","11001011","11011110","11001001","10110111","11000000","10101000","00000001","00101011","0000000000010110","00000110"
"0","10101100","10100000","00000010","10011000","11001011","11011110","11001001","00100110","0000000001101110","00010001"
"0","11000000","10101000","00000001","10100101","10101100","10100000","00000010","11100000","0000000000110101","00010001"
"0","10101100","10100000","00000010","00011110","11000000","10101000","00000001","00011010","0000000000011001","00000110"
"1","11000000","10101000","00000001","11101000","11001011","11011110","11001001","00000111","0000000000010101","00000110"
"0","10101100","10100000","00000010","01101101","11000000","10101000","00000001","10011001","0000000000011001","00000110"
"0","11001011","11011110","11001001","01101111","10101100","10100000","00000010","01100110","0000000000010111","00000110"
