"Act","src_a1","src_a2","src_a3","src_a4","src_m1","src_m2","src_m3","src_m4","dst_a1","dst_a2","dst_a3","dst_a4","dst_m1","dst_m2","dst_m3","dst_m4","port","protocol"
"0","11000000","10101000","01000000","01000111","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000001010000","00010001"
"0","11000000","10101000","10101111","11101010","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00010001"
"0","11000000","10101000","00001001","10111100","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"1","11000000","10101000","00000001","10101111","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"0","11000000","10101000","00101111","01110000","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000001010000","00010001"
"0","11000000","10101000","10111110","10100100","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000001010000","00000110"
"1","11000000","10101000","00000001","01101111","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"1","11000000","10101000","00000001","10110111","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"0","11000000","10101000","11011000","11110001","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000001010000","00000110"
"1","11000000","10101000","00000001","00111101","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"0","11000000","10101000","10111011","01011111","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"0","11000000","10101000","00011010","00000000","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010111","00000110"
"1","11000000","10101000","00000001","00011101","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"1","11000000","10101000","00000001","00100001","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"1","11000000","10101000","00000001","00000011","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"0","11000000","10101000","10010101","00111000","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010111","00010001"
"1","11000000","10101000","00000001","10011110","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"0","11000000","10101000","01110110","00011110","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000001010000","00000110"
"1","11000000","10101000","00000001","11101000","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"1","11000000","10101000","00000001","10100011","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"1","11000000","10101000","00000001","10011100","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"1","11000000","10101000","00000001","11011000","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"1","11000000","10101000","00000001","00110101","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"0","11000000","10101000","00101111","00011001","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010111","00000110"
"0","11000000","10101000","10011000","10000100","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"1","11000000","10101000","00000001","10010100","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"1","11000000","10101000","00000001","11001000","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"0","11000000","10101000","01000110","00110001","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010111","00000110"
"0","11000000","10101000","10001101","10010110","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"0","11000000","10101000","11001010","10101100","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"0","11000000","10101000","00001101","11000110","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000001010000","00010001"
"1","11000000","10101000","00000001","10111000","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"1","11000000","10101000","00000001","00010101","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"1","11000000","10101000","00000001","01000011","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"1","11000000","10101000","00000001","11011111","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010101","00000110"
"0","11000000","10101000","10110000","11001010","11111111","11111111","11111111","00000000","11000000","10101000","00010100","00000001","11111111","11111111","11111111","00000000","0000000000010111","00010001"
