"Action","Source address","Source Mask","Destination address","Destination Mask","Port","Protocol"
"deny","192.168.125.175","255.255.255.0","192.168.20.1","255.255.255.0","23","17"
"deny","192.168.65.249","255.255.255.0","192.168.20.1","255.255.255.0","23","6"
"deny","192.168.220.146","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.1.107","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.200.182","255.255.255.0","192.168.20.1","255.255.255.0","23","17"
"allow","192.168.1.240","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.1.101","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.160.55","255.255.255.0","192.168.20.1","255.255.255.0","23","6"
"allow","192.168.1.115","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.213.94","255.255.255.0","192.168.20.1","255.255.255.0","23","6"
"deny","192.168.160.81","255.255.255.0","192.168.20.1","255.255.255.0","23","6"
"allow","192.168.1.163","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.1.103","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.228.91","255.255.255.0","192.168.20.1","255.255.255.0","23","17"
"deny","192.168.119.188","255.255.255.0","192.168.20.1","255.255.255.0","23","6"
"deny","192.168.29.53","255.255.255.0","192.168.20.1","255.255.255.0","23","17"
"deny","192.168.148.108","255.255.255.0","192.168.20.1","255.255.255.0","23","17"
"allow","192.168.1.157","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.88.141","255.255.255.0","192.168.20.1","255.255.255.0","23","17"
"allow","192.168.1.87","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.1.91","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.140.80","255.255.255.0","192.168.20.1","255.255.255.0","23","17"
"allow","192.168.1.160","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.1.16","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.160.87","255.255.255.0","192.168.20.1","255.255.255.0","23","6"
"deny","192.168.61.166","255.255.255.0","192.168.20.1","255.255.255.0","23","17"
"deny","192.168.42.70","255.255.255.0","192.168.20.1","255.255.255.0","23","17"
"deny","192.168.141.145","255.255.255.0","192.168.20.1","255.255.255.0","23","17"
"allow","192.168.1.30","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.1.49","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.160.237","255.255.255.0","192.168.20.1","255.255.255.0","23","6"
"deny","192.168.100.189","255.255.255.0","192.168.20.1","255.255.255.0","23","17"
"deny","192.168.107.191","255.255.255.0","192.168.20.1","255.255.255.0","23","17"
"deny","192.168.33.222","255.255.255.0","192.168.20.1","255.255.255.0","23","6"
"deny","192.168.80.201","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.160.21","255.255.255.0","192.168.20.1","255.255.255.0","23","6"
"deny","192.168.160.172","255.255.255.0","192.168.20.1","255.255.255.0","23","6"
"deny","192.168.239.36","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.105.100","255.255.255.0","192.168.20.1","255.255.255.0","23","6"
"allow","192.168.1.196","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.251.46","255.255.255.0","192.168.20.1","255.255.255.0","21","17"
"deny","192.168.162.33","255.255.255.0","192.168.20.1","255.255.255.0","23","6"
"deny","192.168.160.55","255.255.255.0","192.168.20.1","255.255.255.0","23","6"
"deny","192.168.160.25","255.255.255.0","192.168.20.1","255.255.255.0","23","6"
"deny","192.168.169.195","255.255.255.0","192.168.20.1","255.255.255.0","23","17"
