"Action","Source address","Source Mask","Destination address","Destination Mask","Port","Protocol"
"allow","192.168.139.67","255.255.0.0","161.246.34.11","255.255.255.0","21","6"
"allow","192.168.43.36","255.255.0.0","161.246.34.11","255.255.255.0","21","6"
"allow","192.168.180.30","255.255.0.0","161.246.34.11","255.255.255.0","21","6"
"allow","192.168.255.149","255.255.0.0","161.246.34.11","255.255.255.0","21","6"
"allow","192.168.245.195","255.255.0.0","161.246.34.11","255.255.255.0","21","6"
"allow","192.168.240.19","255.255.0.0","161.246.34.11","255.255.255.0","21","6"
"allow","192.168.151.2","255.255.0.0","161.246.34.11","255.255.255.0","21","6"
"allow","192.168.6.151","255.255.0.0","161.246.34.11","255.255.255.0","21","6"
"allow","192.168.254.70","255.255.0.0","161.246.34.11","255.255.255.0","21","6"
"allow","192.168.208.251","255.255.0.0","161.246.34.11","255.255.255.0","21","6"
