"Action","Source address","Source Mask","Destination address","Destination Mask","Port","Protocol"
"deny","192.168.126.151","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.108.93","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.68.50","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.172.207","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.123.27","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.126.72","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.70.199","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"allow","192.168.254.38","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.238.155","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"allow","192.168.1.58","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.92.19","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.106.134","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"allow","192.168.63.60","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.157.4","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.84.67","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.118.146","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.75.191","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.69.180","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.24.24","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.144.193","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"allow","192.168.8.35","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.85.112","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.150.84","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.169.41","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.129.162","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.120.9","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.73.68","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.92.167","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.178.195","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.219.240","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.221.179","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.134.223","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.123.185","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.176.10","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.185.85","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.157.173","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.149.194","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.12.124","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.120.15","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"allow","192.168.32.210","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.24.33","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.146.217","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.220.136","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.47.187","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.176.185","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.11.30","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"allow","192.168.55.64","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.110.36","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.248.132","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.178.104","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.142.250","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.69.98","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.162.132","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.141.193","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.235.122","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.133.129","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.194.28","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.208.42","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.125.155","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.68.202","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.51.191","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.92.49","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.58.254","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.171.67","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.241.216","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.198.131","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.226.95","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.172.181","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.162.34","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.71.46","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.17.138","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.239.97","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.68.242","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"allow","192.168.220.235","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.194.21","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"allow","192.168.27.196","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.32.77","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.37.119","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.162.56","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.93.21","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.198.99","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.224.191","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.222.201","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.198.207","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.200.125","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.92.68","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.122.170","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.252.226","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.44.252","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"allow","192.168.191.25","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.128.41","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.79.224","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.170.128","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.40.221","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.227.193","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.85.93","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.189.52","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.253.247","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.84.21","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.157.176","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.8.210","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"allow","192.168.112.126","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.103.117","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.28.164","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.136.25","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.207.253","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.238.51","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.235.57","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.175.7","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.184.159","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.56.239","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.118.115","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.97.161","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.249.42","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.238.209","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"allow","192.168.17.120","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.208.71","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.221.3","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.10.47","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.227.76","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.21.150","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.212.8","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.168.69","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.171.91","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
