"Action","Source address","Source Mask","Destination address","Destination Mask","Port","Protocol"
"deny","192.168.226.10","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.76.41","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.215.242","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.105.23","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.21.204","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.142.214","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.229.57","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.18.134","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.171.4","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.58.182","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.84.88","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.210.159","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.21.157","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.126.170","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.174.76","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.74.148","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.94.1","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.117.229","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.151.213","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.14.166","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.79.37","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.42.76","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.35.8","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.72.223","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.102.228","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.59.241","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.119.2","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.75.122","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.46.206","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"allow","192.168.85.74","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.126.217","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.106.150","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.149.91","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.13.118","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.113.52","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.142.88","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.15.38","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"allow","192.168.255.100","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.9.132","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.34.136","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.33.60","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.128.174","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.172.148","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.151.37","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.222.239","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.103.135","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.106.10","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.186.229","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.3.154","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.19.140","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.56.207","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.23.146","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.133.51","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.70.146","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.82.150","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.28.137","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.127.183","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.254.191","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.253.201","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.11.55","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.158.44","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.42.202","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.205.60","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.89.127","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.107.26","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.245.123","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.15.195","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.67.86","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.23.12","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.151.248","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.81.145","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.10.123","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.145.130","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.9.177","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.172.94","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.74.120","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.15.44","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.194.89","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"allow","192.168.193.163","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.159.176","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.158.83","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.36.139","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.110.83","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.92.84","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.48.198","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.255.182","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.204.241","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.217.97","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.112.157","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.85.74","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.168.24","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.112.251","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.51.239","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.5.159","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.219.51","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.193.8","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.147.23","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.48.0","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"allow","192.168.166.17","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.242.46","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.4.212","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.217.74","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.162.10","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.241.153","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.55.135","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.36.214","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.114.109","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.81.105","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.237.158","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.2.55","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"allow","192.168.231.106","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.134.18","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.43.226","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.254.230","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.193.54","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.202.61","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.244.253","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.33.76","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.173.220","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
