"Action","Source address","Source Mask","Destination address","Destination Mask","Port","Protocol"
"deny","192.168.33.154","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.0.153","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.249.39","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.218.215","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.252.10","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.167.45","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"allow","192.168.197.171","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.226.36","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.72.27","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.146.172","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.131.127","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.150.112","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.116.19","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.241.99","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.34.216","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.122.84","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"allow","192.168.118.38","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.231.170","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.89.49","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.37.113","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.21.211","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.155.124","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"allow","192.168.166.11","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.24.195","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"deny","192.168.76.172","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.142.216","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.216.218","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"allow","192.168.105.84","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.237.179","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.101.254","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.162.33","255.255.0.0","161.246.34.11","255.255.255.0","22","6"
"allow","192.168.241.165","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
"deny","192.168.171.49","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.89.48","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"deny","192.168.147.31","255.255.0.0","161.246.34.11","255.255.255.0","80","17"
"deny","192.168.73.212","255.255.0.0","161.246.34.11","255.255.255.0","22","17"
"allow","192.168.47.155","255.255.0.0","161.246.34.11","255.255.255.0","80","6"
